ornament_id,source_order,ornament_name,craft,raw_heading,raw_location,detail_lookup_key,candidate_node_id,candidate_node_name,match_confidence,review_state,match_rationale,reviewer_decision,final_node_id,review_notes
orn_043,43,雷神、张仙,木雕,雷神、张仙（木雕）,首进正门西面,雷神、张仙（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_044,44,六国大封相,木雕,六国大封相（木雕）,中进聚贤堂屏风,六国大封相（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_045,45,龙王八仙朝玉帝,木雕,龙王八仙朝玉帝（木雕）,中进聚贤堂屏风,龙王八仙朝玉帝（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_046,46,拳打镇关西,木雕,拳打镇关西（木雕）,中进东路,拳打镇关西（木雕）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_047,47,荣归故里,木雕,荣归故里（木雕）,中进聚贤堂屏风,荣归故里（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_048,48,三打祝家庄,木雕,三打祝家庄（木雕）,中进东路,三打祝家庄（木雕）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_049,49,三顾茅庐,木雕,三顾茅庐（木雕）,中进西路屏风,三顾茅庐（木雕）,label_middle_west_hall,中进西厅,medium,review_required,west middle-bay candidate,,,
orn_050,50,三英战吕布,木雕,三英战吕布（木雕）,中进聚贤堂屏风,三英战吕布（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_051,51,踏雪寻梅,木雕,踏雪寻梅（木雕）,首进中路,踏雪寻梅（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_052,52,踏雪寻梅,木雕,踏雪寻梅（木雕）,首进中路,踏雪寻梅（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_053,53,太白退蕃书,木雕,太白退蕃书（木雕）,中进聚贤堂屏风,太白退蕃书（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_054,54,太平有象,梁架驼墩）（木雕,太平有象（梁架驼墩）（木雕）,中进聚贤堂南面（梁架驼墩）,太平有象（梁架驼墩）（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_055,55,渭水访贤,木雕,渭水访贤（木雕）,中进聚贤堂屏风,渭水访贤（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_056,56,西天取经,木雕,西天取经（木雕）,首进正门西面,西天取经（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_057,57,薛仁贵大战盖苏文,木雕,薛仁贵大战盖苏文（木雕）,中进聚贤堂屏风,薛仁贵大战盖苏文（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_058,58,血染鸳鸯楼,木雕,血染鸳鸯楼（木雕）,中进东路,血染鸳鸯楼（木雕）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_059,59,夜宴桃李园,木雕,夜宴桃李园（木雕）,中进聚贤堂屏风,夜宴桃李园（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_060,60,渔樵耕读,木雕,渔樵耕读（木雕）,首进中路,渔樵耕读（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_061,61,渔舟唱晚,木雕,渔舟唱晚（木雕）,首进中路,渔舟唱晚（木雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_062,62,岳飞大破金兵,木雕,岳飞大破金兵（木雕）,中进聚贤堂屏风,岳飞大破金兵（木雕）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_063,63,长坂坡救阿斗,木雕,长坂坡救阿斗（木雕）,中进西路屏风,长坂坡救阿斗（木雕）,label_middle_west_hall,中进西厅,medium,review_required,west middle-bay candidate,,,
orn_064,64,宝鸭穿莲,石雕,宝鸭穿莲（石雕）,后进中路南面,宝鸭穿莲（石雕）,label_rear_main_hall,后进正厅,medium,review_required,route alias: 后进中路 → 后进正厅/中厅,,,
orn_065,65,吹箫引凤,石雕,吹箫引凤（石雕）,中进东路南面,吹箫引凤（石雕）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_066,66,风云际会,石雕,风云际会（石雕）,后进中路南面,风云际会（石雕）,label_rear_main_hall,后进正厅,medium,review_required,route alias: 后进中路 → 后进正厅/中厅,,,
orn_067,67,封侯挂印,石雕,封侯挂印（石雕）,首进正门,封侯挂印（石雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_068,68,画龙点睛,石雕,画龙点睛（石雕）,中进东路南面,画龙点睛（石雕）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_069,69,金蟾吐瑞气,石雕,金蟾吐瑞气（石雕）,首进正门,金蟾吐瑞气（石雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_070,70,麻姑献寿,石雕,麻姑献寿（石雕）,中进东路南面,麻姑献寿（石雕）,label_middle_east_hall,中进东厅,medium,review_required,east middle-bay candidate,,,
orn_071,71,狮子滚绣球,石雕,狮子滚绣球（石雕）,后进东路南面,狮子滚绣球（石雕）,label_rear_east_hall,后进东厅,medium,review_required,east rear-bay candidate,,,
orn_072,72,石狮子,石雕,石狮子（石雕）,首进正门,石狮子（石雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_073,73,苏武牧羊,石雕,苏武牧羊（石雕）,首进西路北面,苏武牧羊（石雕）,label_first_west_hall,首进西厅,medium,review_required,west first-bay candidate,,,
orn_074,74,踏雪寻梅,石雕,踏雪寻梅（石雕）,首进西路北面,踏雪寻梅（石雕）,label_first_west_hall,首进西厅,medium,review_required,west first-bay candidate,,,
orn_075,75,太平有象,石雕,太平有象（石雕）,首进西路北面,太平有象（石雕）,label_first_west_hall,首进西厅,medium,review_required,west first-bay candidate,,,
orn_076,76,天下文明,石雕,天下文明（石雕）,后进西路南面,天下文明（石雕）,label_rear_west_hall,后进西厅,medium,review_required,west rear-bay candidate,,,
orn_077,77,一路连科,石雕,一路连科（石雕）,首进正门,一路连科（石雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_078,78,引福归堂,石雕,引福归堂（石雕）,首进中路北面,引福归堂（石雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_079,79,壮士斗牛,石雕,壮士斗牛（石雕）,后进西路南面,壮士斗牛（石雕）,label_rear_west_hall,后进西厅,medium,review_required,west rear-bay candidate,,,
orn_080,80,状元及第,石雕,状元及第（石雕）,首进正门南面,状元及第（石雕）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_081,81,鳌鱼,螭吻、鸱吻）（陶塑,鳌鱼（螭吻、鸱吻）（陶塑）,中进聚贤堂南面,鳌鱼（螭吻、鸱吻）（陶塑）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_082,82,博古图,陶塑,博古图（陶塑）,后进东路南面,博古图（陶塑）,label_rear_east_hall,后进东厅,medium,review_required,east rear-bay candidate,,,
orn_083,83,凤凰牡丹,凤穿牡丹）（陶塑,凤凰牡丹（凤穿牡丹）（陶塑）,首进中路南面,凤凰牡丹（凤穿牡丹）（陶塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_084,84,凤诏,陶塑,凤诏（陶塑）,首进中路南面,凤诏（陶塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_085,85,瓜瓞连绵,陶塑,瓜瓞连绵（陶塑）,中进聚贤堂南面,瓜瓞连绵（陶塑）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_086,86,刘备过江招亲,陶塑,刘备过江招亲（陶塑）,首进中路东侧,刘备过江招亲（陶塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_087,87,六郎罪子,陶塑,六郎罪子（陶塑）,首进中路南面,六郎罪子（陶塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_088,88,三多图,陶塑,三多图（陶塑）,首进西路南面,三多图（陶塑）,label_first_west_hall,首进西厅,medium,review_required,west first-bay candidate,,,
orn_089,89,书字换鹅,陶塑,书字换鹅（陶塑）,首进中路北面,书字换鹅（陶塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_090,90,四郎探母,陶塑,四郎探母（陶塑）,首进中路南面,四郎探母（陶塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_091,91,武王伐纣,陶塑,武王伐纣（陶塑）,首进中路东侧,武王伐纣（陶塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_092,92,薛平贵勇降烈马,陶塑,薛平贵勇降烈马（陶塑）,首进中路西侧,薛平贵勇降烈马（陶塑）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_093,93,子孙万代,福禄久长）（陶塑,子孙万代（福禄久长）（陶塑）,中进聚贤堂南面,子孙万代（福禄久长）（陶塑）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_094,94,和合二仙,砖雕&铜铁铸&壁画,和合二仙（砖雕&铜铁铸&壁画）,德表门廊,和合二仙（砖雕&铜铁铸&壁画）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_095,95,姜子牙拜相,砖雕&铜铁铸&壁画,姜子牙拜相（砖雕&铜铁铸&壁画）,中进聚贤堂南面,姜子牙拜相（砖雕&铜铁铸&壁画）,stop_juxian_hall,中进聚贤堂,high,candidate_ready,mapped guide stop: 中进聚贤堂,,,
orn_096,96,梁山聚义,砖雕&铜铁铸&壁画,梁山聚义（砖雕&铜铁铸&壁画）,首进西路外墙,梁山聚义（砖雕&铜铁铸&壁画）,label_first_west_hall,首进西厅,medium,review_required,west first-bay candidate,,,
orn_097,97,刘庆伏“狼驹”,砖雕&铜铁铸&壁画,刘庆伏“狼驹”（砖雕&铜铁铸&壁画）,通用砖雕题材,刘庆伏“狼驹”（砖雕&铜铁铸&壁画）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_098,98,门神,砖雕&铜铁铸&壁画,门神（砖雕&铜铁铸&壁画）,首进正门,门神（砖雕&铜铁铸&壁画）,label_first_main_hall,首进正厅,medium,review_required,central first-bay candidate,,,
orn_099,99,麒麟玉书凤凰图,砖雕&铜铁铸&壁画,麒麟玉书凤凰图（砖雕&铜铁铸&壁画）,月台正面,麒麟玉书凤凰图（砖雕&铜铁铸&壁画）,label_moon_platform,月台,high,candidate_ready,mapped platform: 月台,,,
orn_100,100,三阳开泰,砖雕&铜铁铸&壁画,三阳开泰（砖雕&铜铁铸&壁画）,月台东西两侧,三阳开泰（砖雕&铜铁铸&壁画）,label_moon_platform,月台,high,candidate_ready,mapped platform: 月台,,,
orn_101,101,天姬送子,砖雕&铜铁铸&壁画,天姬送子（砖雕&铜铁铸&壁画）,后进中路南面,天姬送子（砖雕&铜铁铸&壁画）,label_rear_main_hall,后进正厅,medium,review_required,route alias: 后进中路 → 后进正厅/中厅,,,
orn_102,102,完璧归赵,砖雕&铜铁铸&壁画,完璧归赵（砖雕&铜铁铸&壁画）,后进西路南面,完璧归赵（砖雕&铜铁铸&壁画）,label_rear_west_hall,后进西厅,medium,review_required,west rear-bay candidate,,,
orn_103,103,梧桐柳杏凤群图,砖雕&铜铁铸&壁画,梧桐柳杏凤群图（砖雕&铜铁铸&壁画）,通用砖雕题材,梧桐柳杏凤群图（砖雕&铜铁铸&壁画）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_104,104,五伦全图,砖雕&铜铁铸&壁画,五伦全图（砖雕&铜铁铸&壁画）,通用砖雕题材,五伦全图（砖雕&铜铁铸&壁画）,,,,needs_manual_mapping,no safe map-node match; add a node or choose one manually,,,
orn_105,105,小天使,砖雕&铜铁铸&壁画,小天使（砖雕&铜铁铸&壁画）,首进东路北面,小天使（砖雕&铜铁铸&壁画）,label_first_east_hall,首进东厅,medium,review_required,east first-bay candidate,,,
