ornament_id,ornament_name,craft,raw_location,final_node_id,mapping_decision,mapping_source,review_notes
orn_080,状元及第,石雕,首进正门南面,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_081,鳌鱼,螭吻、鸱吻）（陶塑,中进聚贤堂南面,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_082,博古图,陶塑,后进东路南面,stop_rear_courtyard_east,change,manual_review_existing_node,后东庭
orn_083,凤凰牡丹,凤穿牡丹）（陶塑,首进中路南面,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_084,凤诏,陶塑,首进中路南面,stop_front_courtyard_east,change,manual_review_existing_node,前院东部靠边
orn_085,瓜瓞连绵,陶塑,中进聚贤堂南面,stop_front_courtyard_north,change,manual_review_existing_node,前庭
orn_086,刘备过江招亲,陶塑,首进中路东侧,stop_front_courtyard_east_inner,add_node,manual_review_registered_add_node,前院东部靠中
orn_087,六郎罪子,陶塑,首进中路南面,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_088,三多图,陶塑,首进西路南面,stop_front_courtyard_west_inner,add_node,manual_review_registered_add_node,前院西部靠中
orn_089,书字换鹅,陶塑,首进中路北面,label_moon_platform,change,manual_review_existing_node,月台
orn_090,四郎探母,陶塑,首进中路南面,stop_front_courtyard_center,change,manual_review_existing_node,前院中部
orn_091,武王伐纣,陶塑,首进中路东侧,label_moon_platform,change,manual_review_existing_node,月台（前庭东北侧）
orn_092,薛平贵勇降烈马,陶塑,首进中路西侧,label_moon_platform,change,manual_review_existing_node,月台（前庭西北侧）
orn_093,子孙万代,福禄久长）（陶塑,中进聚贤堂南面,label_moon_platform,change,manual_review_existing_node,月台（前庭东北侧）
orn_094,和合二仙,砖雕&铜铁铸&壁画,德表门廊,stop_front_courtyard_east,change,manual_review_existing_node,前院东部靠边
orn_095,姜子牙拜相,砖雕&铜铁铸&壁画,中进聚贤堂南面,label_moon_platform,change,manual_review_existing_node,月台（前庭东北侧）
orn_096,梁山聚义,砖雕&铜铁铸&壁画,首进西路外墙,stop_front_courtyard_west_inner,add_node,manual_review_registered_add_node,前院西部靠中
orn_097,刘庆伏“狼驹”,砖雕&铜铁铸&壁画,通用砖雕题材,stop_front_courtyard_east,change,manual_review_existing_node,前院东部靠边
orn_098,门神,砖雕&铜铁铸&壁画,首进正门,label_first_main_hall,change,manual_review_existing_node,首进正厅（大门内）
orn_099,麒麟玉书凤凰图,砖雕&铜铁铸&壁画,月台正面,label_moon_platform,change,manual_review_existing_node,月台（中部）
orn_100,三阳开泰,砖雕&铜铁铸&壁画,月台东西两侧,label_moon_platform,change,manual_review_existing_node,月台（中部）
orn_101,天姬送子,砖雕&铜铁铸&壁画,后进中路南面,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭
orn_102,完璧归赵,砖雕&铜铁铸&壁画,后进西路南面,stop_rear_west_courtyard,change,manual_review_existing_node,后西庭
orn_103,梧桐柳杏凤群图,砖雕&铜铁铸&壁画,通用砖雕题材,stop_front_courtyard_west_inner,add_node,manual_review_registered_add_node,前院西部靠中
orn_104,五伦全图,砖雕&铜铁铸&壁画,通用砖雕题材,stop_front_courtyard_east,change,manual_review_existing_node,前院东部靠边
orn_105,小天使,砖雕&铜铁铸&壁画,首进东路北面,stop_front_east_courtyard,change,manual_review_existing_node,前东庭东南侧
